TITLE = "HYDROGEOCHEM SUBFLOW PLOT"
VARIABLES = "X","Y","Satur","Poros","MoistCon"
ZONE T="       0", N=       82, E=       40, F=FEPOINT, ET=QUADRILATERAL, SOLUTIONTIME=  0.0000000E+00
  0.0000000E+00  5.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  5.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  5.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  5.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  6.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  6.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  6.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  6.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  7.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  7.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  7.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  7.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  8.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  8.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  8.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  8.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  9.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  9.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  9.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  9.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.0000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.0000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.0500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.0500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.1000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.1000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.1500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.1500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.2000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.2000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.2500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.2500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.3000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.3000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.3500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.3500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.4000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.4000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.4500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.4500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.5000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.5000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.5500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.5500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.6000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.6000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.6500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.6500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.7000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.7000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.7500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.7500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.8000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.8000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.8500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.8500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.9000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.9000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.9500000E+02  3.6111111E-01  4.5000000E-01  1.6250000E-01
  5.0000000E+01  1.9500000E+02  3.6111111E-01  4.5000000E-01  1.6250000E-01
  0.0000000E+00  2.0000000E+02  3.8444444E-01  4.5000000E-01  1.7300000E-01
  5.0000000E+01  2.0000000E+02  3.8444444E-01  4.5000000E-01  1.7300000E-01
      1      2      4      3
      3      4      6      5
      5      6      8      7
      7      8     10      9
      9     10     12     11
     11     12     14     13
     13     14     16     15
     15     16     18     17
     17     18     20     19
     19     20     22     21
     21     22     24     23
     23     24     26     25
     25     26     28     27
     27     28     30     29
     29     30     32     31
     31     32     34     33
     33     34     36     35
     35     36     38     37
     37     38     40     39
     39     40     42     41
     41     42     44     43
     43     44     46     45
     45     46     48     47
     47     48     50     49
     49     50     52     51
     51     52     54     53
     53     54     56     55
     55     56     58     57
     57     58     60     59
     59     60     62     61
     61     62     64     63
     63     64     66     65
     65     66     68     67
     67     68     70     69
     69     70     72     71
     71     72     74     73
     73     74     76     75
     75     76     78     77
     77     78     80     79
     79     80     82     81
ZONE T="       1", N=       82, E=       40, F=FEPOINT, ET=QUADRILATERAL, SOLUTIONTIME=  5.0000000E-02
  0.0000000E+00  0.0000000E+00  9.3712188E-01  4.5000000E-01  4.2170485E-01
  5.0000000E+01  0.0000000E+00  9.3712188E-01  4.5000000E-01  4.2170485E-01
  0.0000000E+00  5.0000000E+00  8.1455800E-01  4.5000000E-01  3.6655110E-01
  5.0000000E+01  5.0000000E+00  8.1455800E-01  4.5000000E-01  3.6655110E-01
  0.0000000E+00  1.0000000E+01  6.4800203E-01  4.5000000E-01  2.9160091E-01
  5.0000000E+01  1.0000000E+01  6.4800203E-01  4.5000000E-01  2.9160091E-01
  0.0000000E+00  1.5000000E+01  5.1547021E-01  4.5000000E-01  2.3196159E-01
  5.0000000E+01  1.5000000E+01  5.1547021E-01  4.5000000E-01  2.3196159E-01
  0.0000000E+00  2.0000000E+01  4.2157932E-01  4.5000000E-01  1.8971070E-01
  5.0000000E+01  2.0000000E+01  4.2157932E-01  4.5000000E-01  1.8971070E-01
  0.0000000E+00  2.5000000E+01  3.6939368E-01  4.5000000E-01  1.6622715E-01
  5.0000000E+01  2.5000000E+01  3.6939368E-01  4.5000000E-01  1.6622715E-01
  0.0000000E+00  3.0000000E+01  3.5436428E-01  4.5000000E-01  1.5946392E-01
  5.0000000E+01  3.0000000E+01  3.5436428E-01  4.5000000E-01  1.5946392E-01
