33
# x y z
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
6.8741572761215	14.514357068821	0
7.7483145522431	14.028714137643	0
8.6224718283646	13.543071206464	0
9.4966291044861	13.057428275285	0
10.370786380608	12.571785344107	0
11.244943656729	12.086142412928	0
12.119100932851	11.60049948175	0
12.993258208972	11.114856550571	0
13.867415485094	10.629213619392	0
14.741572761215	10.143570688214	0
15.615730037337	9.657927757035	0
16.489887313458	9.1722848258564	0
17.36404458958	8.6866418946778	0
18.238201865702	8.2009989634992	0
19.112359141823	7.7153560323205	0
19.986516417945	7.2297131011419	0
20.860673694066	6.7440701699633	0
21.734830970188	6.2584272387846	0
22.608988246309	5.772784307606	0
23.483145522431	5.2871413764274	0
24.408739718026	5	0
25.408739718026	5	0
26.408739718026	5	0
27.408739718026	5	0
28.408739718026	5	0
29.408739718026	5	0
1035
# a b m n rhoa k err ip iperr
1	2	3	4	2.45002177923302e+03	-1.88495559215388e+01	1.00076394859570e-02	0.00000000000000e+00	0.00000000000000e+00
2	3	4	5	2.10552741006631e+03	-1.88495559215388e+01	1.00089084841428e-02	0.00000000000000e+00	0.00000000000000e+00
3	4	5	6	2.11821959651873e+03	-1.88495559215388e+01	1.00088701103388e-02	0.00000000000000e+00	0.00000000000000e+00
4	5	6	7	1.94413776772038e+03	-1.88495559215388e+01	1.00095252592516e-02	0.00000000000000e+00	0.00000000000000e+00
5	6	7	8	2.18015251770805e+03	-1.92410338475267e+01	1.00088438002564e-02	0.00000000000000e+00	0.00000000000000e+00
6	7	8	9	2.36264573460378e+03	-1.92410338475267e+01	1.00079799254965e-02	0.00000000000000e+00	0.00000000000000e+00
7	8	9	10	1.99188680191995e+03	-1.88495559215387e+01	1.00094103830467e-02	0.00000000000000e+00	0.00000000000000e+00
8	9	10	11	2.18769588484940e+03	-1.88495559215388e+01	1.00086452485986e-02	0.00000000000000e+00	0.00000000000000e+00
9	10	11	12	2.17134381557274e+03	-1.88495559215387e+01	1.00088156292237e-02	0.00000000000000e+00	0.00000000000000e+00
10	11	12	13	2.08880312360827e+03	-1.88495559215388e+01	1.00089002874391e-02	0.00000000000000e+00	0.00000000000000e+00
11	12	13	14	2.11789442725359e+03	-1.88495559215388e+01	1.00090271069691e-02	0.00000000000000e+00	0.00000000000000e+00
12	13	14	15	2.04517830306527e+03	-1.88495559215387e+01	1.00091908024706e-02	0.00000000000000e+00	0.00000000000000e+00
13	14	15	16	2.00352165258312e+03	-1.88495559215388e+01	1.00093555114981e-02	0.00000000000000e+00	0.00000000000000e+00
14	15	16	17	2.01460713433214e+03	-1.88495559215387e+01	1.00094675509253e-02	0.00000000000000e+00	0.00000000000000e+00
15	16	17	18	1.99267143344471e+03	-1.88495559215387e+01	1.00096202649751e-02	0.00000000000000e+00	0.00000000000000e+00
16	17	18	19	1.89147215599588e+03	-1.88495559215388e+01	1.00097968431956e-02	0.00000000000000e+00	0.00000000000000e+00
17	18	19	20	1.86787612449267e+03	-1.88495559215388e+01	1.00100207752514e-02	0.00000000000000e+00	0.00000000000000e+00
18	19	20	21	1.85625929644539e+03	-1.88495559215387e+01	1.00102138500265e-02	0.00000000000000e+00	0.00000000000000e+00
19	20	21	22	1.80585622284178e+03	-1.88495559215387e+01	1.00105402305313e-02	0.00000000000000e+00	0.00000000000000e+00
20	21	22	23	1.74224035815309e+03	-1.88495559215387e+01	1.00106872977417e-02	0.00000000000000e+00	0.00000000000000e+00
21	22	23	24	1.69825995250059e+03	-1.88495559215388e+01	1.00109516192291e-02	0.00000000000000e+00	0.00000000000000e+00
22	23	24	25	1.66144846780361e+03	-1.88495559215388e+01	1.00113450893984e-02	0.00000000000000e+00	0.00000000000000e+00
23	24	25	26	1.59951100581264e+03	-1.88495559215387e+01	1.00116294676784e-02	0.00000000000000e+00	0.00000000000000e+00
24	25	26	27	1.59206652176201e+03	-1.88495559215388e+01	1.00117946807750e-02	0.00000000000000e+00	0.00000000000000e+00
25	26	27	28	1.46796753737693e+03	-1.91662214494505e+01	1.00132217059621e-02	0.00000000000000e+00	0.00000000000000e+00
26	27	28	29	1.32682119730882e+03	-1.78511319560395e+01	1.00134703165478e-02	0.00000000000000e+00	0.00000000000000e+00
27	28	29	30	1.32945275138820e+03	-1.92419682724375e+01	1.00144950442393e-02	0.00000000000000e+00	0.00000000000000e+00
28	29	30	31	1.41420204269255e+03	-1.88495559215388e+01	1.00129612442297e-02	0.00000000000000e+00	0.00000000000000e+00
29	30	31	32	1.40546973273274e+03	-1.88495559215388e+01	1.00133636407887e-02	0.00000000000000e+00	0.00000000000000e+00
30	31	32	33	1.44719530682109e+03	-1.88495559215388e+01	1.00130258939520e-02	0.00000000000000e+00	0.00000000000000e+00
1	2	4	5	2.79954733890129e+03	-7.53982236861549e+01	1.00273315130984e-02	0.00000000000000e+00	0.00000000000000e+00
2	3	5	6	2.37679702993323e+03	-7.53982236861549e+01	1.00314178829232e-02	0.00000000000000e+00	0.00000000000000e+00
3	4	6	7	2.22267558928445e+03	-7.53982236861549e+01	1.00343746595622e-02	0.00000000000000e+00	0.00000000000000e+00
4	5	7	8	2.41000872561717e+03	-7.88179583003060e+01	1.00323809680991e-02	0.00000000000000e+00	0.00000000000000e+00
5	6	8	9	3.08349676526904e+03	-7.08839950849544e+01	1.00230968381425e-02	0.00000000000000e+00	0.00000000000000e+00
6	7	9	10	2.45115519347967e+03	-7.88179583003060e+01	1.00321526121677e-02	0.00000000000000e+00	0.00000000000000e+00
7	8	10	11	2.02280116440917e+03	-7.53982236861550e+01	1.00374114796160e-02	0.00000000000000e+00	0.00000000000000e+00
8	9	11	12	2.26906280718459e+03	-7.53982236861548e+01	1.00336017265467e-02	0.00000000000000e+00	0.00000000000000e+00
